Item: Total, Total: $108132.43, Count: 152, Min: $-294.93, Max: $2188.88
Item: Sub-Total, Total: $99570.53, Count: 152, Min: $-271.51, Max: $2015.08
Item: DEBIT    6866, Total: $67197.98, Count: 88, Min: $-119.13, Max: $2188.88
Item: DEBIT    0445, Total: $31046.12, Count: 43, Min: $13.95, Max: $1907.80
Item: BF INS RND XT SEL  R/W, Total: $24697.88, Count: 177, Min: $-227.12, Max: $371.70
Item: CHX BRST JMB, Total: $14257.60, Count: 228, Min: $44.80, Max: $82.80
Item: CHX HAL BRST JMB, Total: $10134.40, Count: 164, Min: $-69.20, Max: $72.40
Item: Tax, Total: $8561.90, Count: 152, Min: $-23.42, Max: $173.80
Item: MC/VISA  6866, Total: $8297.89, Count: 12, Min: $24.32, Max: $1324.90
Item: PD BROC CROWNS DW, Total: $4818.68, Count: 171, Min: $-59.49, Max: $163.70
Item: PD SQUASH ITALN MD, Total: $3564.37, Count: 172, Min: $-57.41, Max: $164.04
Item: PD POTATO RED A #2, Total: $3161.18, Count: 118, Min: $-42.79, Max: $119.40
Item: CHX HAL LEG QTR SM, Total: $2586.00, Count: 94, Min: $-29.60, Max: $31.20
Item: CHX LEG QTR SM, Total: $2544.40, Count: 106, Min: $-26.00, Max: $29.20
Item: PD CARROT JMBO 25#, Total: $2086.29, Count: 125, Min: $-3.50, Max: $54.10
Item: QUINOA WHITE       5#, Total: $2050.87, Count: 85, Min: $22.93, Max: $69.12
Item: PD BRUSSEL SPROUT, Total: $1746.96, Count: 47, Min: $-62.36, Max: $158.82
Item: CONT SOUP CMB SC12, Total: $1691.16, Count: 64, Min: $-29.69, Max: $30.16
Item: FRY PAN COATED 14I, Total: $1395.64, Count: 37, Min: $-229.20, Max: $229.20
Item: FSH TUNA AHI LOIN, Total: $1332.00, Count: 12, Min: $-38.40, Max: $236.40
Item: CASH, Total: $1191.00, Count: 3, Min: $0.00, Max: $641.00
Item: PD YAM JEWEL JBO, Total: $1073.47, Count: 61, Min: $-17.65, Max: $28.61
Item: CONT SOUP CMB SC16, Total: $865.15, Count: 30, Min: $-31.32, Max: $31.42
Item: PD CABB GREEN SACK, Total: $810.09, Count: 48, Min: $-24.96, Max: $24.96
Item: GRAPESEED OIL 100%, Total: $770.60, Count: 9, Min: $79.99, Max: $94.72
Item: Balance, Total: $709.56, Count: 152, Min: $-104.90, Max: $294.93
Item: BF INS RDN XT CH   R/W, Total: $654.27, Count: 5, Min: $-21.95, Max: $350.66
Item: SHRP P&D TO 16-20, Total: $620.71, Count: 15, Min: $-11.21, Max: $55.33
Item: GLOVE NITRILE MED, Total: $581.47, Count: 16, Min: $4.90, Max: $40.88
Item: PD CELERY BULK, Total: $578.18, Count: 22, Min: $-12.00, Max: $62.79
Item: TOM SAUCE HUNTS, Total: $473.31, Count: 14, Min: $9.85, Max: $40.82
Item: GLV EXAM NIT BL LG, Total: $457.80, Count: 13, Min: $34.44, Max: $35.28
Item: WINE CKING SHERRY  4/1GL, Total: $447.96, Count: 23, Min: $6.54, Max: $20.58
Item: PD ONION YEL JBO, Total: $427.11, Count: 20, Min: $-19.46, Max: $30.89
Item: CONT REC BLK 28Z, Total: $425.34, Count: 10, Min: $41.99, Max: $43.35
Item: PD PINEAPPLE LGE, Total: $412.49, Count: 24, Min: $-56.70, Max: $162.00
Item: CHILI DICED, Total: $406.31, Count: 12, Min: $33.14, Max: $34.61
Item: SCE SWEET CHILI    32Z, Total: $396.81, Count: 13, Min: $25.99, Max: $35.79
Item: PD BEET SK 25 LB, Total: $369.17, Count: 19, Min: $-7.17, Max: $23.89
Item: SPC GRAN ONION     5#, Total: $364.68, Count: 16, Min: $17.99, Max: $27.62
Item: SPC GARLIC GRAN    7#, Total: $355.06, Count: 15, Min: $19.99, Max: $26.40
Item: HONEY EXTRA LT AMB, Total: $347.03, Count: 9, Min: $-60.35, Max: $88.80
Item: CONT SOUP CMB SC24, Total: $345.72, Count: 9, Min: $31.39, Max: $45.99
Item: FSH SALM PINK 6Z, Total: $340.74, Count: 8, Min: $41.93, Max: $43.91
Item: TOM PETITE DICED, Total: $323.71, Count: 13, Min: $6.27, Max: $30.32
Item: MILK COCONUT CHAOK 6/#10, Total: $321.63, Count: 5, Min: $63.50, Max: $67.63
Item: PD HRB BASIL 1LB, Total: $313.62, Count: 23, Min: $-15.42, Max: $183.60
Item: DAWN HVY DTY PUMP  1GAL, Total: $281.59, Count: 11, Min: $24.99, Max: $26.25
Item: WAR IMM BLENDER 10, Total: $249.99, Count: 1, Min: $249.99, Max: $249.99
Item: TOWEL TERRY 75CT   75CT, Total: $244.97, Count: 9, Min: $21.99, Max: $29.01
Item: PD PPR JALAPENO CS, Total: $243.29, Count: 7, Min: $24.18, Max: $43.63
Item: SHRP EZPEEL 16-20, Total: $222.31, Count: 4, Min: $-111.86, Max: $111.86
Item: PD STRAWBERRY NATL, Total: $202.18, Count: 21, Min: $-52.32, Max: $104.64
Item: DAMAGES DELI, Total: $201.00, Count: 8, Min: $3.00, Max: $88.00
Item: PD CUCUMBER SEL 72, Total: $200.43, Count: 12, Min: $-7.46, Max: $25.16
Item: DEBIT    9634, Total: $200.00, Count: 1, Min: $200.00, Max: $200.00
Item: BF SAB PSMO 5UP, Total: $191.12, Count: 2, Min: $91.81, Max: $99.31
Item: PD LIMES 200CT, Total: $187.98, Count: 5, Min: $28.01, Max: $58.32
Item: PD KALE GREEN 24CT, Total: $180.65, Count: 13, Min: $-28.69, Max: $28.69
Item: SPC PEPR BLK GRND  5LB, Total: $178.51, Count: 8, Min: $20.73, Max: $24.62
Item: FABULOSO LAVENDER  169Z, Total: $172.15, Count: 5, Min: $22.24, Max: $53.80
Item: HONEY LT AMBER CQ, Total: $167.73, Count: 3, Min: $43.93, Max: $79.74
Item: ORANGE THUN CITRUS, Total: $166.97, Count: 6, Min: $12.46, Max: $35.96
Item: DAWN ORIGINAL PUMP, Total: $164.20, Count: 13, Min: $-124.26, Max: $62.13
Item: PD PPR BELL RED LG, Total: $162.85, Count: 7, Min: $18.54, Max: $31.49
Item: BEAN BLACK, Total: $149.45, Count: 10, Min: $-19.52, Max: $19.52
Item: PD BERRY BLUE PINT, Total: $148.74, Count: 8, Min: $-53.12, Max: $151.76
Item: FSH SALM CHUM 8Z, Total: $144.34, Count: 3, Min: $47.86, Max: $48.24
Item: SYRUP MOLASSES CQ, Total: $140.68, Count: 8, Min: $-18.09, Max: $40.20
Item: PD MUSH MEDIUM 10#, Total: $137.85, Count: 11, Min: $-21.34, Max: $47.42
Item: QLT FRY PAN CTD    14", Total: $136.38, Count: 3, Min: $45.46, Max: $45.46
Item: FSH SCAL DRY 8-9, Total: $135.35, Count: 1, Min: $135.35, Max: $135.35
Item: SALT KOSHER MRTON, Total: $121.36, Count: 5, Min: $-5.34, Max: $40.48
Item: PD PPR BELL GREEN, Total: $119.28, Count: 9, Min: $-8.79, Max: $19.54
Item: SPC CAJUN SEASONIN 6LB, Total: $119.22, Count: 5, Min: $21.59, Max: $25.60
Item: GLOVE VNL LG PF, Total: $115.50, Count: 5, Min: $-4.80, Max: $38.50
Item: FSH COD FLT 16-32, Total: $115.00, Count: 1, Min: $115.00, Max: $115.00
Item: PD BERRY RASPBERRY, Total: $114.47, Count: 14, Min: $-37.80, Max: $38.79
