Item,Total Cost,Frequency,Min Price,Max Price,Average Price
Total,$108132.43,152,$-294.93,$2188.88,$711.40
Sub-Total,$99570.53,152,$-271.51,$2015.08,$655.07
DEBIT    6866,$67197.98,88,$-119.13,$2188.88,$763.61
DEBIT    0445,$31046.12,43,$13.95,$1907.80,$722.00
BF INS RND XT SEL  R/W,$24697.88,177,$-227.12,$371.70,$139.54
CHX BRST JMB,$14257.60,228,$44.80,$82.80,$62.53
CHX HAL BRST JMB,$10134.40,164,$-69.20,$72.40,$61.80
Tax,$8561.90,152,$-23.42,$173.80,$56.33
MC/VISA  6866,$8297.89,12,$24.32,$1324.90,$691.49
PD BROC CROWNS DW,$4818.68,171,$-59.49,$163.70,$28.18
PD SQUASH ITALN MD,$3564.37,172,$-57.41,$164.04,$20.72
PD POTATO RED A #2,$3161.18,118,$-42.79,$119.40,$26.79
CHX HAL LEG QTR SM,$2586.00,94,$-29.60,$31.20,$27.51
CHX LEG QTR SM,$2544.40,106,$-26.00,$29.20,$24.00
PD CARROT JMBO 25#,$2086.29,125,$-3.50,$54.10,$16.69
QUINOA WHITE       5#,$2050.87,85,$22.93,$69.12,$24.13
PD BRUSSEL SPROUT,$1746.96,47,$-62.36,$158.82,$37.17
CONT SOUP CMB SC12,$1691.16,64,$-29.69,$30.16,$26.42
FRY PAN COATED 14I,$1395.64,37,$-229.20,$229.20,$37.72
FSH TUNA AHI LOIN,$1332.00,12,$-38.40,$236.40,$111.00
CASH,$1191.00,3,$0.00,$641.00,$397.00
PD YAM JEWEL JBO,$1073.47,61,$-17.65,$28.61,$17.60
CONT SOUP CMB SC16,$865.15,30,$-31.32,$31.42,$28.84
PD CABB GREEN SACK,$810.09,48,$-24.96,$24.96,$16.88
GRAPESEED OIL 100%,$770.60,9,$79.99,$94.72,$85.62
Balance,$709.56,152,$-104.90,$294.93,$4.67
BF INS RDN XT CH   R/W,$654.27,5,$-21.95,$350.66,$130.85
SHRP P&D TO 16-20,$620.71,15,$-11.21,$55.33,$41.38
GLOVE NITRILE MED,$581.47,16,$4.90,$40.88,$36.34
PD CELERY BULK,$578.18,22,$-12.00,$62.79,$26.28
TOM SAUCE HUNTS,$473.31,14,$9.85,$40.82,$33.81
GLV EXAM NIT BL LG,$457.80,13,$34.44,$35.28,$35.22
WINE CKING SHERRY  4/1GL,$447.96,23,$6.54,$20.58,$19.48
PD ONION YEL JBO,$427.11,20,$-19.46,$30.89,$21.36
CONT REC BLK 28Z,$425.34,10,$41.99,$43.35,$42.53
PD PINEAPPLE LGE,$412.49,24,$-56.70,$162.00,$17.19
CHILI DICED,$406.31,12,$33.14,$34.61,$33.86
SCE SWEET CHILI    32Z,$396.81,13,$25.99,$35.79,$30.52
PD BEET SK 25 LB,$369.17,19,$-7.17,$23.89,$19.43
SPC GRAN ONION     5#,$364.68,16,$17.99,$27.62,$22.79
SPC GARLIC GRAN    7#,$355.06,15,$19.99,$26.40,$23.67
HONEY EXTRA LT AMB,$347.03,9,$-60.35,$88.80,$38.56
CONT SOUP CMB SC24,$345.72,9,$31.39,$45.99,$38.41
FSH SALM PINK 6Z,$340.74,8,$41.93,$43.91,$42.59
TOM PETITE DICED,$323.71,13,$6.27,$30.32,$24.90
MILK COCONUT CHAOK 6/#10,$321.63,5,$63.50,$67.63,$64.33
PD HRB BASIL 1LB,$313.62,23,$-15.42,$183.60,$13.64
DAWN HVY DTY PUMP  1GAL,$281.59,11,$24.99,$26.25,$25.60
WAR IMM BLENDER 10,$249.99,1,$249.99,$249.99,$249.99
TOWEL TERRY 75CT   75CT,$244.97,9,$21.99,$29.01,$27.22
PD PPR JALAPENO CS,$243.29,7,$24.18,$43.63,$34.76
SHRP EZPEEL 16-20,$222.31,4,$-111.86,$111.86,$55.58
PD STRAWBERRY NATL,$202.18,21,$-52.32,$104.64,$9.63
DAMAGES DELI,$201.00,8,$3.00,$88.00,$25.12
PD CUCUMBER SEL 72,$200.43,12,$-7.46,$25.16,$16.70
DEBIT    9634,$200.00,1,$200.00,$200.00,$200.00
BF SAB PSMO 5UP,$191.12,2,$91.81,$99.31,$95.56
PD LIMES 200CT,$187.98,5,$28.01,$58.32,$37.60
PD KALE GREEN 24CT,$180.65,13,$-28.69,$28.69,$13.90
SPC PEPR BLK GRND  5LB,$178.51,8,$20.73,$24.62,$22.31
FABULOSO LAVENDER  169Z,$172.15,5,$22.24,$53.80,$34.43
HONEY LT AMBER CQ,$167.73,3,$43.93,$79.74,$55.91
ORANGE THUN CITRUS,$166.97,6,$12.46,$35.96,$27.83
DAWN ORIGINAL PUMP,$164.20,13,$-124.26,$62.13,$12.63
PD PPR BELL RED LG,$162.85,7,$18.54,$31.49,$23.26
BEAN BLACK,$149.45,10,$-19.52,$19.52,$14.94
PD BERRY BLUE PINT,$148.74,8,$-53.12,$151.76,$18.59
FSH SALM CHUM 8Z,$144.34,3,$47.86,$48.24,$48.11
SYRUP MOLASSES CQ,$140.68,8,$-18.09,$40.20,$17.59
PD MUSH MEDIUM 10#,$137.85,11,$-21.34,$47.42,$12.53
"QLT FRY PAN CTD    14""",$136.38,3,$45.46,$45.46,$45.46
FSH SCAL DRY 8-9,$135.35,1,$135.35,$135.35,$135.35
SALT KOSHER MRTON,$121.36,5,$-5.34,$40.48,$24.27
PD PPR BELL GREEN,$119.28,9,$-8.79,$19.54,$13.25
SPC CAJUN SEASONIN 6LB,$119.22,5,$21.59,$25.60,$23.84
GLOVE VNL LG PF,$115.50,5,$-4.80,$38.50,$23.10
FSH COD FLT 16-32,$115.00,1,$115.00,$115.00,$115.00
PD BERRY RASPBERRY,$114.47,14,$-37.80,$38.79,$8.18
CONT SOUP CMB SC8,$107.22,4,$24.99,$27.78,$26.80
PD GARLIC SPAINPLD,$101.15,8,$-17.35,$18.70,$12.64
PD ASPARAGUS BAG,$100.47,4,$-67.80,$135.60,$25.12
FSH SCAL PR 80-120,$97.32,2,$48.66,$48.66,$48.66
PD MUSH PORTABELLA,$96.19,10,$-21.68,$54.21,$9.62
CONT SOUP CMB SC32,$95.88,2,$47.94,$47.94,$47.94
FSH SCAL PRO 20-25,$94.17,1,$94.17,$94.17,$94.17
PD BERRY BLACK 6OZ,$93.17,5,$-23.02,$51.15,$18.63
CHX LEG QTR JMB,$88.80,3,$29.60,$29.60,$29.60
PD RADISH SACK 25#,$88.28,5,$-13.55,$39.97,$17.66
PD TOMATO 25LB XL,$86.98,11,$-22.66,$33.76,$7.91
TOPO CHICO MINERAL 12Z,$86.94,3,$28.98,$28.98,$28.98
RF SALMON COHO FLT,$82.69,4,$20.06,$21.18,$20.67
WELCHS FRUIT SNACK 2.25OZ,$80.30,8,$-33.04,$73.43,$10.04
PD CUCUMBER HH BLK,$79.39,8,$-28.20,$29.85,$9.92
PD TOMATILLO CS,$78.58,6,$-44.64,$44.64,$13.10
VINEGR WINE RED    1GL,$78.19,8,$9.49,$10.04,$9.77
SP ITALIAN SEASNG  2LB,$76.17,3,$25.21,$25.75,$25.39
PD ONION RED 25#,$76.14,6,$-13.75,$22.27,$12.69
SALT IODIZED ROUND,$73.46,5,$14.48,$14.89,$14.69
BOUILLON 7.25Z     RE AW,$71.37,3,$23.79,$23.79,$23.79
WIN MANDOLINE SET,$70.84,1,$70.84,$70.84,$70.84
PD MUSH LARGE 10LB,$70.15,4,$-15.59,$62.36,$17.54
PD APPLE FUJI72-88,$66.45,2,$28.63,$37.82,$33.23
CRAB DUNGE CLUSTER,$64.88,2,$-34.93,$99.81,$32.44
BF FEET CUT/SLICED FRZ,$64.80,3,$21.60,$21.60,$21.60
