Most Bought Items and Their Costs:
===================================
Item: CHX BRST JMB, Count: 228, Total Cost: $14257.60
Item: BF INS RND XT SEL  R/W, Count: 177, Total Cost: $24697.88
Item: PD SQUASH ITALN MD, Count: 172, Total Cost: $3564.37
Item: PD BROC CROWNS DW, Count: 171, Total Cost: $4818.68
Item: CHX HAL BRST JMB, Count: 164, Total Cost: $10134.40
Item: Sub-Total, Count: 152, Total Cost: $99570.53
Item: Tax, Count: 152, Total Cost: $8561.90
Item: Total, Count: 152, Total Cost: $108132.43
Item: Balance, Count: 152, Total Cost: $709.56
Item: PD CARROT JMBO 25#, Count: 125, Total Cost: $2086.29
Item: PD POTATO RED A #2, Count: 118, Total Cost: $3161.18
Item: CHX LEG QTR SM, Count: 106, Total Cost: $2544.40
Item: CHX HAL LEG QTR SM, Count: 94, Total Cost: $2586.00
Item: DEBIT    6866, Count: 88, Total Cost: $67197.98
Item: QUINOA WHITE       5#, Count: 85, Total Cost: $2050.87
Item: CONT SOUP CMB SC12, Count: 64, Total Cost: $1691.16
Item: PD YAM JEWEL JBO, Count: 61, Total Cost: $1073.47
Item: PD CABB GREEN SACK, Count: 48, Total Cost: $810.09
Item: PD BRUSSEL SPROUT, Count: 47, Total Cost: $1746.96
Item: DEBIT    0445, Count: 43, Total Cost: $31046.12
Item: FRY PAN COATED 14I, Count: 37, Total Cost: $1395.64
Item: CONT SOUP CMB SC16, Count: 30, Total Cost: $865.15
Item: PD PINEAPPLE LGE, Count: 24, Total Cost: $412.49
Item: PD HRB BASIL 1LB, Count: 23, Total Cost: $313.62
Item: WINE CKING SHERRY  4/1GL, Count: 23, Total Cost: $447.96
Item: PD CELERY BULK, Count: 22, Total Cost: $578.18
Item: PD STRAWBERRY NATL, Count: 21, Total Cost: $202.18
Item: PD ONION YEL JBO, Count: 20, Total Cost: $427.11
Item: PD BEET SK 25 LB, Count: 19, Total Cost: $369.17
Item: GLOVE NITRILE MED, Count: 16, Total Cost: $581.47
Item: SPC GRAN ONION     5#, Count: 16, Total Cost: $364.68
Item: SHRP P&D TO 16-20, Count: 15, Total Cost: $620.71
Item: SPC GARLIC GRAN    7#, Count: 15, Total Cost: $355.06
Item: TOM SAUCE HUNTS, Count: 14, Total Cost: $473.31
Item: PD BERRY RASPBERRY, Count: 14, Total Cost: $114.47
Item: TOM PETITE DICED, Count: 13, Total Cost: $323.71
Item: PD KALE GREEN 24CT, Count: 13, Total Cost: $180.65
Item: SCE SWEET CHILI    32Z, Count: 13, Total Cost: $396.81
Item: DAWN ORIGINAL PUMP, Count: 13, Total Cost: $164.20
Item: GLV EXAM NIT BL LG, Count: 13, Total Cost: $457.80
Item: PD HRB DILL 1LB, Count: 13, Total Cost: $56.43
Item: FSH TUNA AHI LOIN, Count: 12, Total Cost: $1332.00
Item: CHILI DICED, Count: 12, Total Cost: $406.31
