Date,Item,Total Cost,Frequency,Min Price,Max Price
2023-12-05,ORANGE THUN CITRUS,$166.97,6,$12.46,$35.96
2023-12-05,PD WATERMELON BIN,$38.33,4,$-27.82,$55.65
2023-12-05,SALT IODIZED ROUND,$73.46,5,$14.48,$14.89
2023-12-05,CHX LEG QTR SM,$2544.40,106,$-26.00,$29.20
2023-12-05,FSH TUNA AHI LOIN,$1332.00,12,$-38.40,$236.40
2023-12-05,SHRP P&D TO 16-20,$620.71,15,$-11.21,$55.33
2023-12-05,FSH SALM PINK 6Z,$340.74,8,$41.93,$43.91
2023-12-05,QUINOA WHITE       5#,$2050.87,85,$22.93,$69.12
2023-12-05,CONT SOUP CMB SC12,$1691.16,64,$-29.69,$30.16
2023-12-05,PD PPR JALAPENO CS,$243.29,7,$24.18,$43.63
2023-12-05,PD PPR BELL GREEN,$119.28,9,$-8.79,$19.54
2023-12-05,PD LIMES 200CT,$187.98,5,$28.01,$58.32
2023-12-05,PD MUSH PORTABELLA,$96.19,10,$-21.68,$54.21
2023-12-05,PD MUSH MEDIUM 10#,$137.85,11,$-21.34,$47.42
2023-12-05,PD TOMATO ROMA XL,$63.40,6,$-14.37,$41.07
2023-12-05,PD BROC CROWNS DW,$4818.68,171,$-59.49,$163.70
2023-12-05,PD YAM JEWEL JBO,$1073.47,61,$-17.65,$28.61
2023-12-05,Sub-Total,$99570.53,152,$-271.51,$2015.08
2023-12-05,Tax,$8561.90,152,$-23.42,$173.80
2023-12-05,Total,$108132.43,152,$-294.93,$2188.88
2023-12-05,DEBIT    6866,$67197.98,88,$-119.13,$2188.88
2023-12-05,Balance,$709.56,152,$-104.90,$294.93
2024-04-22,PD STRAWBERRY NATL,$202.18,21,$-52.32,$104.64
2024-04-22,PD ORG ARUGULA BBY,$28.26,6,$-3.14,$12.56
2024-04-22,PD HRB BASIL 1LB,$313.62,23,$-15.42,$183.60
2024-04-22,Sub-Total,$27.64,1,$27.64,$27.64
2024-04-22,Tax,$2.38,1,$2.38,$2.38
2024-04-22,Total,$30.02,1,$30.02,$30.02
2024-04-22,DEBIT    6866,$30.02,1,$30.02,$30.02
2024-04-22,Balance,$0.00,1,$0.00,$0.00
2023-03-05,CONT SOUP CMB SC12,$59.02,2,$29.51,$29.51
2023-03-05,CONT SOUP CMB SC16,$865.15,30,$-31.32,$31.42
2023-03-05,CHX HAL LEG QTR SM,$2586.00,94,$-29.60,$31.20
2023-03-05,GLOVE NITRILE MED,$581.47,16,$4.90,$40.88
2023-03-05,Sub-Total,$356.34,1,$356.34,$356.34
2023-03-05,Tax,$30.73,1,$30.73,$30.73
2023-03-05,Total,$387.07,1,$387.07,$387.07
2023-03-05,DEBIT    0445,$31046.12,43,$13.95,$1907.80
2023-03-05,Balance,$0.00,1,$0.00,$0.00
2024-01-09,CONT REC BLK 28Z,$425.34,10,$41.99,$43.35
2024-01-09,Sub-Total,$41.99,1,$41.99,$41.99
2024-01-09,Tax,$3.62,1,$3.62,$3.62
2024-01-09,Total,$45.61,1,$45.61,$45.61
2024-01-09,DEBIT    6866,$45.61,1,$45.61,$45.61
2024-01-09,Balance,$0.00,1,$0.00,$0.00
2023-02-07,PD CARROT JMBO 25#,$2086.29,125,$-3.50,$54.10
2023-02-07,PD POTATO RED A #2,$3161.18,118,$-42.79,$119.40
2023-02-07,PD CABB GREEN SACK,$810.09,48,$-24.96,$24.96
2023-02-07,GRAPESEED OIL 100%,$770.60,9,$79.99,$94.72
2023-02-07,TOM PETITE DICED,$323.71,13,$6.27,$30.32
2023-02-07,CHILI DICED,$406.31,12,$33.14,$34.61
2023-02-07,PD SQUASH ITALN MD,$3564.37,172,$-57.41,$164.04
2023-02-07,PD YAM JEWEL JBO,$17.64,1,$17.64,$17.64
2023-02-07,Sub-Total,$350.04,1,$350.04,$350.04
2023-02-07,Tax,$30.19,1,$30.19,$30.19
2023-02-07,Total,$380.23,1,$380.23,$380.23
2023-02-07,DEBIT    0445,$380.23,1,$380.23,$380.23
2023-02-07,Balance,$0.00,1,$0.00,$0.00
2023-04-30,PD CARROT JMBO 25#,$11.15,1,$11.15,$11.15
2023-04-30,PD SQUASH ITALN MD,$31.32,2,$15.66,$15.66
2023-04-30,PD BROC CROWNS DW,$101.92,4,$25.48,$25.48
2023-04-30,PD PPR BELL GREEN,$18.31,1,$18.31,$18.31
2023-04-30,TOM SAUCE HUNTS,$473.31,14,$9.85,$40.82
2023-04-30,PD POTATO RED A #2,$56.86,2,$28.43,$28.43
2023-04-30,PD YAM JEWEL JBO,$17.65,1,$17.65,$17.65
2023-04-30,PD CABB GREEN SACK,$19.21,1,$19.21,$19.21
2023-04-30,Sub-Total,$292.76,1,$292.76,$292.76
2023-04-30,Tax,$25.25,1,$25.25,$25.25
2023-04-30,Total,$318.01,1,$318.01,$318.01
2023-04-30,DEBIT    0445,$318.01,1,$318.01,$318.01
2023-04-30,Balance,$0.00,1,$0.00,$0.00
2023-07-21,PD CUCUMBER HH BLK,$79.39,8,$-28.20,$29.85
2023-07-21,Sub-Total,$-28.20,1,$-28.20,$-28.20
2023-07-21,Tax,$-2.43,1,$-2.43,$-2.43
2023-07-21,Total,$-30.63,1,$-30.63,$-30.63
2023-07-21,IOU PAYMNT 6425,$-35.93,2,$-24.61,$-11.32
2023-07-21,Balance,$-19.31,1,$-19.31,$-19.31
2023-03-07,PD MUSH LARGE 10LB,$70.15,4,$-15.59,$62.36
2023-03-07,TOM SAUCE HUNTS,$36.34,1,$36.34,$36.34
2023-03-07,GRAPESEED OIL 100%,$79.99,1,$79.99,$79.99
2023-03-07,CHX LEG QTR SM,$75.60,3,$25.20,$25.20
2023-03-07,CHX HAL BRST JMB,$10134.40,164,$-69.20,$72.40
2023-03-07,Sub-Total,$365.90,1,$365.90,$365.90
2023-03-07,Tax,$31.56,1,$31.56,$31.56
2023-03-07,Total,$397.46,1,$397.46,$397.46
2023-03-07,DEBIT    0445,$397.46,1,$397.46,$397.46
