Date,Total
2023-01-06,$1660.05
2023-01-11,$1996.76
2023-01-17,$1805.23
2023-01-25,$1571.06
2023-01-29,$1268.10
2023-02-07,$1681.65
2023-02-10,$1575.26
2023-02-18,$1446.37
2023-02-27,$1974.90
2023-03-05,$725.36
2023-03-07,$2125.54
2023-03-10,$692.34
2023-03-20,$2400.98
2023-03-27,$1937.46
2023-04-04,$1864.50
2023-04-11,$1394.99
2023-04-17,$1521.06
2023-04-24,$1706.26
2023-04-26,$372.56
2023-04-30,$1325.69
2023-05-08,$1593.85
2023-05-16,$1695.23
2023-05-23,$2188.88
2023-05-30,$1578.04
2023-06-05,$1523.04
2023-06-13,$1938.79
2023-06-21,$1798.90
2023-06-24,$1738.19
2023-07-15,$1532.86
2023-07-21,$1656.83
2023-07-25,$1413.16
2023-07-29,$429.95
2023-08-01,$1910.75
2023-08-08,$868.95
2023-08-11,$852.48
2023-08-16,$1411.10
2023-08-23,$2169.50
2023-08-29,$1173.57
2023-09-06,$1627.70
2023-09-12,$1617.01
2023-09-19,$1828.64
2023-09-27,$2060.24
2023-10-03,$1916.46
2023-10-10,$813.31
2023-10-17,$830.60
2023-10-24,$1387.59
2023-10-31,$1383.62
2023-11-07,$1064.24
2023-11-24,$828.65
2023-11-28,$1120.09
2023-12-05,$1661.50
2023-12-12,$912.28
2023-12-19,$660.99
2023-12-26,$1192.74
2024-01-02,$1263.93
2024-01-09,$1689.63
2024-01-12,$676.11
2024-01-16,$1257.51
2024-01-22,$954.64
2024-01-30,$1207.11
2024-02-05,$1786.03
2024-02-10,$1197.06
2024-02-20,$1378.57
2024-02-26,$1348.86
2024-03-05,$1745.82
2024-03-19,$1739.55
2024-03-26,$2133.55
2024-04-01,$1533.61
2024-04-05,$610.65
2024-04-09,$1705.94
2024-04-15,$1370.80
2024-04-22,$1647.98
2024-04-29,$1630.75
2024-05-06,$1828.48
Grand Total,$108132.43
