"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 11084","Terminal 13 - 04/01/2024 3:49 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
2060059143,"PD CARROT JMBO 25#       ",3,0,$35.61
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
81814701056,"FSH SALM CHUM 8Z         ",1,0,$48.24
2060042791,"PD BROC CROWNS DW        ",1,0,$24.05
2060042791,"PD BROC CROWNS DW        ",1,0,$24.05
76069503125,"PD BROC CROWNS DW        ",1,0,$24.05
2060042761,"PD YAM JEWEL JBO         ",1,0,$18.19
81004390137,"SHRP EZPEEL 16-20        ",0,1,$110.45
4473807234,"SCE SWEET CHILI    32Z   ",0,1,$27.91
76069502533,"TOM PETITE DICED         ",0,1,$27.53
76069502214,"MOP CTN EXT HVY          ",1,0,$9.92
2060042750,"PD SQUASH ITALN MD       ",3,0,$29.97
2060042750,"PD SQUASH ITALN MD       ",0,25,-$7.49
0,Sub-Total,0,0,$418.56
0,Tax,0,0,$36.10
0,Total,0,0,$454.66
0,"DEBIT    6866",0,0,$454.66
0,Balance,0,0,$0.00
