"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 16992","Terminal 11 - 11/28/2023 11:35 am"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
20776700000,"CHX LEG QTR SM           ",40,0,$23.20
20772320000,"CHX BRST JMB             ",40,0,$46.00
20772320000,"CHX BRST JMB             ",40,0,$46.00
20776700000,"CHX LEG QTR SM           ",40,0,$23.20
20772320000,"CHX BRST JMB             ",40,0,$46.00
20772320000,"CHX BRST JMB             ",40,0,$46.00
20798350000,"BF INS RND XT SEL  R/W   ",83.6,0,$308.48
20798350000,"BF INS RND XT SEL  R/W   ",83.6,0,-$16.72
76069557368,"SPC GRAN ONION     5#    ",1,0,$22.49
76069557320,"SPC GARLIC GRAN    7#    ",1,0,$24.31
7127038559,"QUINOA WHITE       5#    ",0,1,$23.04
2113607037,"TOPO CHICO MINERAL 12Z   ",1,0,$28.98
2060042827,"PD MELON HONEY           ",1,0,$16.12
2060042827,"PD MELON HONEY           ",0,40,-$6.45
2060042537,"PD MELON CANT            ",1,0,$20.06
2060042537,"PD MELON CANT            ",0,40,-$8.02
2060067164,"PD PINEAPPLE LGE         ",3,0,$59.88
2060067164,"PD PINEAPPLE LGE         ",0,45,-$26.95
2060079278,"PD TOMATO ROMA XL        ",1,0,$29.36
2060079278,"PD TOMATO ROMA XL        ",0,45,-$13.21
2060042542,"PD MUSH PORTABELLA       ",3,0,$54.21
2060042542,"PD MUSH PORTABELLA       ",0,40,-$21.68
2700039061,"TOM SAUCE HUNTS          ",0,1,$40.82
76069502533,"TOM PETITE DICED         ",0,1,$27.53
85106300214,"PD YAM JEWEL JBO         ",1,0,$18.57
62809003004,"PD POTATO RED A #2       ",1,0,$19.95
2060059143,"PD CARROT JMBO 25#       ",1,0,$24.78
2060059143,"PD CARROT JMBO 25#       ",1,0,$24.78
2060042750,"PD SQUASH ITALN MD       ",1,0,$20.46
2060042750,"PD SQUASH ITALN MD       ",1,0,$20.46
2060042750,"PD SQUASH ITALN MD       ",1,0,$20.46
2060042791,"PD BROC CROWNS DW        ",1,0,$20.51
2060042791,"PD BROC CROWNS DW        ",1,0,$20.51
85176800272,"PD BRUSSEL SPROUT        ",1,0,$48.02
0,Sub-Total,0,0,"$1,031.15"
0,Tax,0,0,$88.94
0,Total,0,0,"$1,120.09"
0,"DEBIT    6866",0,0,"$1,120.09"
0,Balance,0,0,$0.00
