"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 27593","Terminal 13 - 01/02/2024 3:39 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
2060059143,"PD CARROT JMBO 25#       ",1,0,$16.88
2060059143,"PD CARROT JMBO 25#       ",1,0,$16.88
2060059143,"PD CARROT JMBO 25#       ",1,0,$16.88
20772320000,"CHX BRST JMB             ",40,0,$46.00
20772320000,"CHX BRST JMB             ",40,0,$46.00
20772320000,"CHX BRST JMB             ",40,0,$46.00
20772320000,"CHX BRST JMB             ",40,0,$46.00
2060042761,"PD YAM JEWEL JBO         ",1,0,$18.57
20776700000,"CHX LEG QTR SM           ",40,0,$24.40
20798350000,"BF INS RND XT SEL  R/W   ",68.9,0,$216.35
20798350000,"BF INS RND XT SEL  R/W   ",68.9,0,-$13.78
3077208728,"DAWN HVY DTY PUMP  1GAL  ",1,0,$25.67
81814701055,"FSH SALM PINK 6Z         ",1,0,$43.59
81814701013,"FSH COD FLT 16-32        ",1,0,$115.00
81004390121,"SHRP P&D TO 16-20        ",1,0,$13.59
76069503125,"PD BROC CROWNS DW        ",1,0,$16.47
76069503125,"PD BROC CROWNS DW        ",1,0,$16.47
85000897604,"PD SQUASH ITALN MD       ",1,0,$28.16
85000897604,"PD SQUASH ITALN MD       ",1,0,$28.16
2060042578,"PD BEET SK 25 LB         ",1,0,$22.15
81193602037,"PD CELERY BULK           ",1,0,$26.11
20776700000,"CHX LEG QTR SM           ",40,0,$24.40
20776700000,"CHX LEG QTR SM           ",40,0,$24.40
72906299124,"PDU MELON HONEY 2C       ",3,0,$24.24
72906299124,"PDU MELON HONEY 2C       ",0,35,-$8.48
2060080007,"PD POTATO RED A #2       ",1,0,$23.31
2060080007,"PD POTATO RED A #2       ",1,0,$23.31
0,Sub-Total,0,0,$926.73
0,Tax,0,0,$79.93
0,Total,0,0,"$1,006.66"
0,"DEBIT    6866",0,0,"$1,006.66"
0,Balance,0,0,$0.00
