Item,Total,Count,Min,Max
Item: DEBIT    6866,67197.98,88,-119.13,2188.88
Item: DEBIT    0445,31046.12,43,13.95,1907.8
Item: BF INS RND XT SEL  R/W,24697.88,177,-227.12,371.7
Item: CHX BRST JMB,14257.6,228,44.8,82.8
Item: CHX HAL BRST JMB,10134.4,164,-69.2,72.4
Item: MC/VISA  6866,8297.89,12,24.32,1324.9
Item: PD BROC CROWNS DW,4818.68,171,-59.49,163.7
Item: PD SQUASH ITALN MD,3564.37,172,-57.41,164.04
Item: PD POTATO RED A #2,3161.18,118,-42.79,119.4
Item: CHX HAL LEG QTR SM,2586.0,94,-29.6,31.2
Item: CHX LEG QTR SM,2544.4,106,-26.0,29.2
Item: PD CARROT JMBO 25#,2086.29,125,-3.5,54.1
Item: QUINOA WHITE       5#,2050.87,85,22.93,69.12
Item: PD BRUSSEL SPROUT,1746.96,47,-62.36,158.82
Item: CONT SOUP CMB SC12,1691.16,64,-29.69,30.16
Item: FRY PAN COATED 14I,1395.64,37,-229.2,229.2
Item: FSH TUNA AHI LOIN,1332.0,12,-38.4,236.4
Item: CASH,1191.0,3,0.0,641.0
Item: PD YAM JEWEL JBO,1073.47,61,-17.65,28.61
Item: CONT SOUP CMB SC16,865.15,30,-31.32,31.42
Item: PD CABB GREEN SACK,810.09,48,-24.96,24.96
Item: GRAPESEED OIL 100%,770.6,9,79.99,94.72
Item: Balance,709.56,152,-104.9,294.93
Item: BF INS RDN XT CH   R/W,654.27,5,-21.95,350.66
Item: SHRP P&D TO 16-20,620.71,15,-11.21,55.33
Item: GLOVE NITRILE MED,581.47,16,4.9,40.88
Item: PD CELERY BULK,578.18,22,-12.0,62.79
Item: TOM SAUCE HUNTS,473.31,14,9.85,40.82
Item: GLV EXAM NIT BL LG,457.8,13,34.44,35.28
Item: WINE CKING SHERRY  4/1GL,447.96,23,6.54,20.58
Item: PD ONION YEL JBO,427.11,20,-19.46,30.89
Item: CONT REC BLK 28Z,425.34,10,41.99,43.35
Item: PD PINEAPPLE LGE,412.49,24,-56.7,162.0
Item: CHILI DICED,406.31,12,33.14,34.61
Item: SCE SWEET CHILI    32Z,396.81,13,25.99,35.79
Item: PD BEET SK 25 LB,369.17,19,-7.17,23.89
Item: SPC GRAN ONION     5#,364.68,16,17.99,27.62
Item: SPC GARLIC GRAN    7#,355.06,15,19.99,26.4
Item: HONEY EXTRA LT AMB,347.03,9,-60.35,88.8
Item: CONT SOUP CMB SC24,345.72,9,31.39,45.99
Item: FSH SALM PINK 6Z,340.74,8,41.93,43.91
Item: TOM PETITE DICED,323.71,13,6.27,30.32
Item: MILK COCONUT CHAOK 6/#10,321.63,5,63.5,67.63
Item: PD HRB BASIL 1LB,313.62,23,-15.42,183.6
Item: DAWN HVY DTY PUMP  1GAL,281.59,11,24.99,26.25
Item: WAR IMM BLENDER 10,249.99,1,249.99,249.99
Item: TOWEL TERRY 75CT   75CT,244.97,9,21.99,29.01
Item: PD PPR JALAPENO CS,243.29,7,24.18,43.63
Item: SHRP EZPEEL 16-20,222.31,4,-111.86,111.86
Item: PD STRAWBERRY NATL,202.18,21,-52.32,104.64
Item: DAMAGES DELI,201.0,8,3.0,88.0
Item: PD CUCUMBER SEL 72,200.43,12,-7.46,25.16
Item: DEBIT    9634,200.0,1,200.0,200.0
Item: BF SAB PSMO 5UP,191.12,2,91.81,99.31
Item: PD LIMES 200CT,187.98,5,28.01,58.32
Item: PD KALE GREEN 24CT,180.65,13,-28.69,28.69
Item: SPC PEPR BLK GRND  5LB,178.51,8,20.73,24.62
Item: FABULOSO LAVENDER  169Z,172.15,5,22.24,53.8
Item: HONEY LT AMBER CQ,167.73,3,43.93,79.74
Item: ORANGE THUN CITRUS,166.97,6,12.46,35.96
Item: DAWN ORIGINAL PUMP,164.2,13,-124.26,62.13
Item: PD PPR BELL RED LG,162.85,7,18.54,31.49
Item: BEAN BLACK,149.45,10,-19.52,19.52
Item: PD BERRY BLUE PINT,148.74,8,-53.12,151.76
Item: FSH SALM CHUM 8Z,144.34,3,47.86,48.24
Item: SYRUP MOLASSES CQ,140.68,8,-18.09,40.2
Item: PD MUSH MEDIUM 10#,137.85,11,-21.34,47.42
"Item: QLT FRY PAN CTD    14""",136.38,3,45.46,45.46
Item: FSH SCAL DRY 8-9,135.35,1,135.35,135.35
Item: SALT KOSHER MRTON,121.36,5,-5.34,40.48
Item: PD PPR BELL GREEN,119.28,9,-8.79,19.54
Item: SPC CAJUN SEASONIN 6LB,119.22,5,21.59,25.6
Item: GLOVE VNL LG PF,115.5,5,-4.8,38.5
